Song,Arranger,Voicing
"After You've Gone",Don Gray,TTBB
Bright Was the Night,David Wright,TTBB
Caroline,Boston Common,TTBB
Darkness on the Delta,Barbershop Harmony Society,TTBB
"Drivin' Me Crazy",Bob Disney,TTBB
From the First Hello to the Last Goodbye,Lou Perry,TTBB
Coney Island Baby,Barbershop Harmony Society,TTBB
Hello Mary Lou,David Wright,TTBB
"I Don't Know Why (I Just Do)",Mel Knight,TTBB
"I've Been Working on the Railroad",Roger Payne,TTBB
"Lida Rose - Will I Ever Tell You",Nancy Berman and Mo Rector,TTBB
Over the Rainbow,Ed Waesche,TTBB